id;date;amount;remarks;type;user_id;wallet_id;category_id
1;2021-05-09T19:40:21;38418;Baht PCI Markets;INCOME;1;1;1
2;2021-05-09T19:54:15;80959;Ergonomic Intranet Accounts;INCOME;2;2;2
3;2021-05-10T11:24:26;61713;blue maximize Rufiyaa;EXPENSE;2;3;3
4;2021-05-09T22:40:18;47830;PCI full-range;EXPENSE;1;4;4
5;2021-05-10T01:32:23;46244;matrix Refined payment;INCOME;1;5;5
6;2021-05-10T14:06:02;20675;panel;INCOME;2;6;6
7;2021-05-10T00:05:28;72016;Frozen Grocery;INCOME;2;7;7
8;2021-05-10T02:15:12;22516;Isle;EXPENSE;2;8;8
9;2021-05-10T09:13:47;39894;Chief;INCOME;1;9;9
10;2021-05-10T11:06:14;96998;Handcrafted Iran;INCOME;2;10;10
