id;name;amount;currency;remarks;wallet_group_id
1;deposit Manager;29433;Oval matrix;Latvia;1
2;Steel;97477;application Norway and;parsing Tala International;2
3;utilize Decentralized;49656;Soft Nevada;bandwidth Louisiana Electronics;3
4;Tools invoice sensor;93169;Developer bypassing mesh;ability;4
5;generation Multi-channelled Ergonomic;33025;Iowa;Iowa;5
6;Soft USB neural;96634;ivory;Boliviano Ecuador transform;6
7;back-end Virtual Organized;57195;core Bhutan Jersey;Rubber;7
8;Jewelery Belize;25963;Bedfordshire;Future bi-directional Awesome;8
9;frame;99072;optical;generating;9
10;Licensed;91471;Legacy Concrete;B2B virtual Alabama;10
